State,City,Zone,Category,Budget,Age Group,Ideal Travel Months,Gender,Destination
Madhya Pradesh,Bhopal,Central,National Park,Medium,18-60,September-December,Both,Satpura National Park
Madhya Pradesh,Bhopal,Central,Lake,Low,18-60,January-April,Both,Upper Lake
Madhya Pradesh,Bhopal,Central,Historical,Medium,18-60,September-December,Both,Taj-ul-Masajid
Madhya Pradesh,Bhopal,Central,Museum,Low,18-60,January-April,Both,Indira Gandhi Rashtriya Manav Sangrahalaya
Madhya Pradesh,Bhopal,Central,Zoo,Low,Teenagers,May-August,Both,Van Vihar National Park
Madhya Pradesh,Indore,Central,Food,Low,18-60,January-April,Both,Sarafa Bazaar
Madhya Pradesh,Indore,Central,Religious,Medium,60-100,May-August,Both,Kanch Mandir
Madhya Pradesh,Indore,Central,Nature,Medium,18-60,September-December,Both,Patalpani Waterfall
Madhya Pradesh,Indore,Central,Historical,Medium,18-60,January-April,Both,Rajwada Palace
Madhya Pradesh,Indore,Central,Shopping,Low,18-60,May-August,Both,MT Cloth Market
Madhya Pradesh,Gwalior,Central,Historical,Medium,18-60,September-December,Both,Gwalior Fort
Madhya Pradesh,Gwalior,Central,Museum,Medium,18-60,January-April,Both,Jai Vilas Palace Museum
Madhya Pradesh,Gwalior,Central,Religious,Medium,60-100,May-August,Both,Sas Bahu Temple
Madhya Pradesh,Gwalior,Central,Wildlife,Low,18-60,September-December,Both,Madhav National Park
Madhya Pradesh,Gwalior,Central,Monument,Medium,18-60,January-April,Both,Teli Ka Mandir
Madhya Pradesh,Ujjain,Central,Religious,Medium,60-100,May-August,Both,Mahakaleshwar Temple
Madhya Pradesh,Ujjain,Central,Historical,Medium,18-60,September-December,Both,Kaliadeh Palace
Madhya Pradesh,Ujjain,Central,Monument,Medium,18-60,January-April,Both,Ram Ghat
Madhya Pradesh,Ujjain,Central,Zoo,Low,Teenagers,May-August,Both,Ujjain Zoo
Madhya Pradesh,Ujjain,Central,Festival,Medium,18-60,January-April,Both,Kumbh Mela (once every 12 years)
Madhya Pradesh,Khajuraho,Central,Monument,Medium,18-60,January-April,Both,Khajuraho Temples
Madhya Pradesh,Khajuraho,Central,Museum,Medium,18-60,September-December,Both,Archaeological Museum
Madhya Pradesh,Khajuraho,Central,Nature,Medium,18-60,May-August,Both,Panna National Park
Madhya Pradesh,Khajuraho,Central,Lake,Low,18-60,January-April,Both,Benisagar Dam
Madhya Pradesh,Khajuraho,Central,Religious,Medium,60-100,September-December,Both,Dulhadev Temple
Rajasthan,Jaipur,North,Historical,Medium,18-60,September-December,Both,Amber Fort
Rajasthan,Jaipur,North,Monument,Medium,18-60,January-April,Both,Hawa Mahal
Rajasthan,Jaipur,North,Museum,Low,18-60,May-August,Both,Albert Hall Museum
Rajasthan,Jaipur,North,Shopping,Low,18-60,January-April,Both,Johri Bazaar
Rajasthan,Jaipur,North,Palace,Medium,18-60,September-December,Both,City Palace
Rajasthan,Jodhpur,West,Historical,Medium,18-60,September-December,Both,Mehrangarh Fort
Rajasthan,Jodhpur,West,Religious,Medium,60-100,May-August,Both,Jaswant Thada
Rajasthan,Jodhpur,West,Palace,Medium,18-60,January-April,Both,Umaid Bhawan Palace
Rajasthan,Jodhpur,West,Market,Low,18-60,May-August,Both,Clock Tower Market
Rajasthan,Jodhpur,West,Nature,Medium,18-60,September-December,Both,Rao Jodha Desert Rock Park
Rajasthan,Udaipur,South,Lake,Medium,18-60,January-April,Both,Lake Pichola
Rajasthan,Udaipur,South,Palace,Medium,18-60,September-December,Both,City Palace
Rajasthan,Udaipur,South,Museum,Low,18-60,May-August,Both,Bagore Ki Haveli
Rajasthan,Udaipur,South,Nature,Medium,18-60,January-April,Both,Sajjangarh Palace (Monsoon Palace)
Rajasthan,Udaipur,South,Garden,Low,18-60,May-August,Both,Saheliyon Ki Bari
Rajasthan,Jaisalmer,West,Historical,Medium,18-60,September-December,Both,Jaisalmer Fort
Rajasthan,Jaisalmer,West,Desert Safari,Medium,18-60,January-April,Both,Sam Sand Dunes
Rajasthan,Jaisalmer,West,Lake,Low,18-60,May-August,Both,Gadisar Lake
Rajasthan,Jaisalmer,West,Religious,Medium,60-100,September-December,Both,Jain Temples
Rajasthan,Jaisalmer,West,Heritage,Medium,18-60,January-April,Both,Patwon Ki Haveli
Rajasthan,Pushkar,North,Religious,Medium,60-100,May-August,Both,Brahma Temple
Rajasthan,Pushkar,North,Lake,Low,18-60,January-April,Both,Pushkar Lake
Rajasthan,Pushkar,North,Festival,Medium,18-60,September-December,Both,Pushkar Camel Fair
Rajasthan,Pushkar,North,Adventure,Medium,18-60,January-April,Both,Hot Air Balloon Ride
Rajasthan,Pushkar,North,Market,Low,18-60,May-August,Both,Pushkar Bazaar
Uttar Pradesh,Agra,North,Monument,Medium,18-60,September-December,Both,Taj Mahal
Uttar Pradesh,Agra,North,Fort,Medium,18-60,January-April,Both,Agra Fort
Uttar Pradesh,Agra,North,Garden,Low,18-60,May-August,Both,Mehtab Bagh
Uttar Pradesh,Agra,North,Religious,Medium,60-100,September-December,Both,Jama Masjid
Uttar Pradesh,Agra,North,Shopping,Low,18-60,January-April,Both,Sadar Bazaar
Uttar Pradesh,Varanasi,North,Religious,Medium,60-100,May-August,Both,Kashi Vishwanath Temple
Uttar Pradesh,Varanasi,North,Ghat,Medium,18-60,September-December,Both,Dashashwamedh Ghat
Uttar Pradesh,Varanasi,North,Cultural,Medium,18-60,January-April,Both,Banaras Hindu University
Uttar Pradesh,Varanasi,North,Festival,Medium,18-60,January-April,Both,Dev Deepawali
Uttar Pradesh,Varanasi,North,Historical,Medium,18-60,September-December,Both,Ramnagar Fort
Uttar Pradesh,Lucknow,North,Historical,Medium,18-60,January-April,Both,Bara Imambara
Uttar Pradesh,Lucknow,North,Garden,Low,18-60,May-August,Both,Ambedkar Memorial Park
Uttar Pradesh,Lucknow,North,Shopping,Low,18-60,September-December,Both,Hazratganj Market
Uttar Pradesh,Lucknow,North,Food,Low,18-60,January-April,Both,Tunday Kababi
Uttar Pradesh,Lucknow,North,Museum,Medium,18-60,September-December,Both,State Museum Lucknow
Uttar Pradesh,Allahabad (Prayagraj),North,Religious,Medium,60-100,May-August,Both,Triveni Sangam
Uttar Pradesh,Allahabad (Prayagraj),North,Fort,Medium,18-60,January-April,Both,Allahabad Fort
Uttar Pradesh,Allahabad (Prayagraj),North,Festival,Medium,18-60,January-April,Both,Kumbh Mela
Uttar Pradesh,Allahabad (Prayagraj),North,Monument,Medium,18-60,September-December,Both,Anand Bhavan
Uttar Pradesh,Allahabad (Prayagraj),North,Museum,Medium,18-60,January-April,Both,Allahabad Museum
Uttar Pradesh,Mathura,North,Religious,Medium,60-100,May-August,Both,Shri Krishna Janmabhoomi
Uttar Pradesh,Mathura,North,Festival,Medium,18-60,January-April,Both,Holi Festival
Uttar Pradesh,Mathura,North,Temple,Medium,18-60,September-December,Both,Dwarkadhish Temple
Uttar Pradesh,Mathura,North,Lake,Low,18-60,January-April,Both,Kusum Sarovar
Uttar Pradesh,Mathura,North,Garden,Low,18-60,May-August,Both,Seva Kunj
Maharashtra,Mumbai,West,Beach,Medium,18-60,September-December,Both,Juhu Beach
Maharashtra,Mumbai,West,Historical,Medium,18-60,January-April,Both,Gateway of India
Maharashtra,Mumbai,West,Religious,Medium,60-100,May-August,Both,Siddhivinayak Temple
Maharashtra,Mumbai,West,Nature,Medium,18-60,September-December,Both,Sanjay Gandhi National Park
Maharashtra,Mumbai,West,Shopping,Low,18-60,January-April,Both,Colaba Causeway
Maharashtra,Pune,West,Historical,Medium,18-60,September-December,Both,Shaniwar Wada
Maharashtra,Pune,West,Religious,Medium,60-100,May-August,Both,Dagadusheth Halwai Ganapati Temple
Maharashtra,Pune,West,Nature,Medium,18-60,January-April,Both,Sinhagad Fort
Maharashtra,Pune,West,Museum,Low,18-60,September-December,Both,Raja Dinkar Kelkar Museum
Maharashtra,Pune,West,Park,Low,Teenagers,May-August,Both,Rajiv Gandhi Zoological Park
Maharashtra,Nashik,West,Religious,Medium,60-100,May-August,Both,Trimbakeshwar Temple
Maharashtra,Nashik,West,Festival,Medium,18-60,January-April,Both,Kumbh Mela (once every 12 years)
Maharashtra,Nashik,West,Nature,Medium,18-60,September-December,Both,Pandav Leni Caves
